airfoil 
    Dummy header 
    1.0      Number of airfoil tables in this file 
    9990000000.0     Table ID parameter (Reynolds number in millions).  For efficiency. make very large if only one table. 
    8.000000     Stall angle (deg) 
    0.0     No longer used, enter zero 
    0.0     No longer used, enter zero 
    0.0     No longer used, enter zero 
    -2.90878794935     Zero Cn angle of attack (deg) 
    6.04295793275     Cn slope for zero lift (dimensionless) 
    1.04507503434     Cn extrapolated to value at positive stall angle of attack 
    -0.72     Cn at stall value for negative angle of attack 
    -2.000000     Angle of attack for minimum CD (deg) 
    0.010300     Minimum CD value 
50.000 0.707248 0.828114 -0.263339
55.000 0.608135 0.907961 -0.278325
60.000 0.522370 0.968362 -0.286970
65.000 0.445827 1.026875 -0.293133
70.000 0.375529 1.075951 -0.296075
75.000 0.309549 1.121252 -0.299986
80.000 0.248772 1.168440 -0.304249
85.000 0.194666 1.209966 -0.306053
90.000 0.114403 1.234504 -0.307827
95.000 0.024845 1.249604 -0.309455
100.000 -0.089139 1.240166 -0.308877
105.000 -0.184971 1.217516 -0.307082
110.000 -0.277565 1.160890 -0.304629
115.000 -0.358428 1.064626 -0.301305
120.000 -0.436566 0.970250 -0.299701
125.000 -0.501519 0.864548 -0.295831
130.000 -0.558700 0.762621 -0.289449
135.000 -0.591014 0.664470 -0.283229
140.000 -0.606989 0.532875 -0.273603
145.000 -0.600480 0.438374 -0.264275
150.000 -0.604868 0.347989 -0.250303
155.000 -0.637049 0.268371 -0.229215
156.000 -0.646033 0.257299 -0.223698
157.000 -0.657832 0.250943 -0.218392
158.000 -0.668715 0.244304 -0.213087
159.000 -0.684101 0.237029 -0.207994
160.000 -0.704218 0.228906 -0.202698
161.000 -0.734061 0.219584 -0.198895
162.000 -0.751997 0.208778 -0.193514
163.000 -0.762275 0.196065 -0.187372
164.000 -0.769856 0.181232 -0.184609
165.000 -0.773504 0.148532 -0.186083
166.000 -0.774984 0.121692 -0.188546
167.000 -0.761757 0.103188 -0.189659
168.000 -0.736779 0.090333 -0.185135
169.000 -0.672836 0.079033 -0.175634
170.000 -0.613468 0.070416 -0.163908
171.000 -0.540733 0.062859 -0.152560
172.000 -0.463572 0.056572 -0.143018
173.000 -0.406850 0.044496 -0.132752
174.000 -0.384691 0.042941 -0.124634
175.000 -0.372223 0.042095 -0.114328
176.000 -0.324779 0.040683 -0.103225
177.000 -0.275482 0.038987 -0.092754
178.000 -0.237565 0.037785 -0.084666
179.000 -0.187365 0.035949 -0.077031
180.000 -0.140007 0.034255 -0.071203
