airfoil 
    Dummy header 
    1.0      Number of airfoil tables in this file 
    9990000000.0     Table ID parameter (Reynolds number in millions).  For efficiency. make very large if only one table. 
    8.000000     Stall angle (deg) 
    0.0     No longer used, enter zero 
    0.0     No longer used, enter zero 
    0.0     No longer used, enter zero 
    -2.90878794935     Zero Cn angle of attack (deg) 
    6.04295793275     Cn slope for zero lift (dimensionless) 
    1.04507503434     Cn extrapolated to value at positive stall angle of attack 
    -0.72     Cn at stall value for negative angle of attack 
    -2.000000     Angle of attack for minimum CD (deg) 
    0.010300     Minimum CD value 
60.000 0.710760 0.751106 -0.143077
65.000 0.604240 0.803286 -0.155670
70.000 0.474892 0.850723 -0.169663
75.000 0.381773 0.898159 -0.179458
80.000 0.248939 0.942434 -0.190653
85.000 0.137616 0.974058 -0.199049
90.000 0.043600 0.996195 -0.208844
95.000 -0.040536 1.004101 -0.215840
100.000 -0.113736 1.002610 -0.225635
105.000 -0.177765 0.967577 -0.235430
110.000 -0.234509 0.921082 -0.243826
115.000 -0.284460 0.863769 -0.246625
120.000 -0.330499 0.797443 -0.245925
125.000 -0.372588 0.724402 -0.241028
130.000 -0.410774 0.646552 -0.234731
135.000 -0.439527 0.566200 -0.229833
140.000 -0.449619 0.485691 -0.224936
145.000 -0.463493 0.407145 -0.217939
150.000 -0.463409 0.332957 -0.205269
155.000 -0.455780 0.279495 -0.195250
156.000 -0.450993 0.264514 -0.192101
157.000 -0.441718 0.251950 -0.187807
158.000 -0.431576 0.243471 -0.181509
159.000 -0.422678 0.238161 -0.177788
160.000 -0.416245 0.232919 -0.173208
161.000 -0.413498 0.231659 -0.167196
162.000 -0.409279 0.230455 -0.159684
163.000 -0.406029 0.229308 -0.155039
164.000 -0.401593 0.228216 -0.150717
165.000 -0.401095 0.227269 -0.146318
166.000 -0.395833 0.226459 -0.140784
167.000 -0.392922 0.226254 -0.135378
168.000 -0.387235 0.226071 -0.129071
169.000 -0.383824 0.225911 -0.122119
170.000 -0.377758 0.225774 -0.116202
171.000 -0.358105 0.225735 -0.110219
172.000 -0.335301 0.225730 -0.103142
173.000 -0.302362 0.225824 -0.095681
174.000 -0.275303 0.225940 -0.086742
175.000 -0.240285 0.226177 -0.079414
176.000 -0.204813 0.226339 -0.071895
177.000 -0.181151 0.226697 -0.064638
178.000 -0.150337 0.227079 -0.053516
179.000 -0.119932 0.227570 -0.044512
180.000 -0.090793 0.228084 -0.036639
