time,Value
4.14,912.371215820313
4.16,984.367553710938
4.18,1049.62451171875
4.2,1108.92102050781
4.22,1155.33520507813
4.24,1184.21716308594
4.2599998,1194.99548339844
4.2799997,1191.42102050781
4.2999997,1181.02014160156
4.3199997,1164.12658691406
4.3399997,1131.69079589844
4.36,1080.88623046875
4.38,1015.48822021484
4.4,938.175476074219
4.42,851.458312988281
4.44,763.803344726563
4.46,683.043273925781
4.48,618.684020996094
4.5,576.199096679688
4.52,553.041259765625
4.54,543.266418457031
4.56,544.693664550781
4.58,557.665466308594
4.6,574.968811035156
4.62,588.630920410156
4.64,596.469665527344
4.66,598.440124511719
4.68,596.12841796875
4.7,591.262878417969
4.72,579.751586914063
4.74,559.462524414063
4.7599998,534.4619141
4.7799997,504.756774902344
4.7999997,468.95751953125
4.8199997,427.029663085938
4.8399997,377.208618164063
4.8599997,321.271392822266
4.88,262.761077880859
4.9,201.310211181641
4.92,134.698532104492
4.94,63.1042938232422
4.96,-10.41302872
4.98,-82.35359192
5,-151.0350342
5.02,-213.7732086
5.04,-265.342804
5.06,-303.5783691
5.08,-328.6654663
5.1,-342.3542175
5.12,-349.5071411
5.14,-349.3805847
5.16,-334.8256836
5.18,-304.3182373
5.2,-260.925354
5.22,-205.5318298
5.24,-141.9517365
5.2599998,-72.61830902
5.2799997,0.697800755500794
5.2999997,69.3884887695313
5.3199997,118.517196655273
5.3399997,134.447235107422
5.3599997,106.17805480957
5.38,35.6153869628906
5.4,-66.68739319
5.42,-190.0901947
5.44,-317.8775635
5.46,-436.6723938
5.48,-541.5505981
5.5,-634.0198364
5.52,-715.8587646
5.54,-781.7498779
5.56,-827.1627197
5.58,-852.6987305
5.6,-866.3737793
5.62,-877.7739258
5.64,-886.0523071
5.66,-881.4933472
5.68,-856.0830688
5.7,-812.2851563
5.72,-758.7952271
5.74,-705.3096313
5.7599998,-663.4519043
5.7799997,-642.4613037
5.7999997,-643.0996704
5.8199997,-655.977417
5.8399997,-675.6854248
5.8599997,-696.9868164
5.8799996,-717.9268799
5.9,-742.6994019
5.92,-765.3071289
5.94,-784.8135986
5.96,-803.4359131
5.98,-823.5943604
6,-851.520813
6.02,-885.588501
6.04,-922.7850952
6.06,-957.9369507
6.08,-984.4938354
6.1,-995.2543945
6.12,-985.7557373
6.14,-958.2136841
6.16,-916.7281494
6.18,-867.6116943
6.2,-814.8324585
6.22,-760.5646362
6.24,-704.5455933
6.2599998,-648.3924561
6.2799997,-595.2965698
6.2999997,-545.5515137
6.3199997,-500.6847534
6.3399997,-460.7639771
6.3599997,-425.6397095
6.3799996,-397.7791443
6.3999996,-380.0536194
6.42,-373.9814453
6.44,-379.142395
6.46,-390.5263672
6.48,-404.4536743
6.5,-418.6930542
6.52,-429.9608154
6.54,-437.755249
6.56,-442.3006287
6.58,-442.8048096
6.6,-438.3108521
6.62,-428.3869934
6.64,-411.5910339
6.66,-387.0167847
6.68,-356.0579224
6.7,-320.1644592
6.72,-281.0891724
6.74,-240.1689301
6.7599998,-197.405365
6.7799997,-155.3787842
6.7999997,-118.1428223
6.8199997,-84.99569702
6.8399997,-52.62570572
6.8599997,-20.28852844
6.8799996,10.4882278442383
6.8999996,39.4099159240723
6.92,68.8879165649414
6.94,101.128715515137
6.96,132.91960144043
6.98,155.633056640625
7,164.115753173828
7.02,161.411483764648
7.04,151.4287109
7.06,133.762542724609
7.08,108.282852172852
7.1,79.4965057373047
7.12,51.8272514343262
7.14,32.5662841796875
7.16,17.6911125183105
7.18,4.67294502258301
7.2,-1.561607718
7.22,-3.466785192
7.24,0.850049793720245
7.2599998,14.7131948471069
7.2799997,36.569034576416
7.2999997,72.8346176147461
7.3199997,134.49235534668
7.3399997,223.353744506836
7.3599997,337.301635742188
7.3799996,472.827331542969
7.3999996,623.001892089844
7.4199996,777.998779296875
7.44,923.098083496094
7.46,1044.83166503906
7.48,1137.62683105469
7.5,1200.46948242188
7.52,1238.40441894531
7.54,1257.26599121094
7.56,1263.49829101563
7.58,1269.42932128906
7.6,1283.59606933594
7.62,1304.21643066406
7.64,1325.77941894531
7.66,1342.04150390625
7.68,1354.91467285156
7.7,1375.36181640625
7.72,1413.3251953125
7.74,1475.75964355469
7.7599998,1567.03979492188
7.7799997,1687.24914550781
7.7999997,1836.89099121094
7.8199997,2009.902344
7.8399997,2192.6923828125
7.8599997,2367.7236328125
7.8799996,2518.71728515625
7.8999996,2630.72094726563
7.9199996,2697.89208984375
7.94,2727.54907226563
7.96,2740.12548828125
7.98,2758.86303710938
8,2789.38305664063
8.0199995,2823.80346679688
8.04,2850.45336914063
8.059999,2856.41967773438
8.08,2837.63549804688
8.099999,2796.43994140625
8.12,2734.83325195313
8.139999,2661.310547
8.16,2589.29760742188
8.179999,2530.19653320313
8.2,2492.642578
8.22,2481.47924804688
8.24,2495.50463867188
8.26,2528.52172851563
8.28,2558.13061523438
8.3,2564.91186523438
8.32,2538.56225585938
8.34,2483.675781
8.36,2417.61767578125
8.38,2362.451172
8.4,2331.7412109375
8.42,2330.57153320313
8.44,2351.47290039063
8.46,2375.26782226563
8.48,2389.59033203125
8.5,2386.55810546875
8.5199995,2362.808594
8.54,2318.78173828125
8.559999,2253.32153320313
8.58,2175.69702148438
8.599999,2101.023438
8.62,2041.62939453125
8.639999,2002.35974121094
8.66,1977.02392578125
8.679999,1952.45642089844
8.7,1917.82263183594
8.72,1868.61218261719
8.74,1809.19250488281
8.76,1745.66479492188
8.78,1692.14904785156
8.8,1668.96447753906
8.82,1683.06567382813
8.84,1733.36352539063
8.86,1812.38952636719
8.88,1900.79504394531
8.9,1980.27001953125
8.92,2039.00256347656
8.94,2065.1591796875
8.96,2058.9208984375
8.98,2029.15063476563
9,1982.443359
9.0199995,1924.32678222656
9.04,1858.06372070313
9.059999,1781.73889160156
9.08,1689.6259765625
9.099999,1580.09155273438
9.12,1451.46142578125
9.139999,1310.68127441406
9.16,1164.70385742188
9.179999,1020.54931640625
9.2,892.1230469
9.22,800.565246582031
9.24,750.741760253906
9.26,734.047180175781
9.28,736.384582519531
9.3,739.037536621094
9.32,735.905639648438
9.34,726.789428710938
9.36,709.565185546875
9.38,687.001708984375
9.4,670.550231933594
9.42,666.625610351563
9.44,675.277954101563
