airfoil 
    Dummy header 
    1.0      Number of airfoil tables in this file 
    9990000000.0     Table ID parameter (Reynolds number in millions).  For efficiency. make very large if only one table. 
    8.000000     Stall angle (deg) 
    0.0     No longer used, enter zero 
    0.0     No longer used, enter zero 
    0.0     No longer used, enter zero 
    -2.90878794935     Zero Cn angle of attack (deg) 
    6.04295793275     Cn slope for zero lift (dimensionless) 
    1.04507503434     Cn extrapolated to value at positive stall angle of attack 
    -0.72     Cn at stall value for negative angle of attack 
    -2.000000     Angle of attack for minimum CD (deg) 
    0.010300     Minimum CD value 
50.000 1.025156 0.845101 -0.192742
55.000 0.923339 0.910244 -0.205426
60.000 0.814274 0.962720 -0.218572
65.000 0.705190 1.015196 -0.233563
70.000 0.601448 1.055006 -0.249708
75.000 0.506695 1.100244 -0.264007
80.000 0.389553 1.136434 -0.278665
85.000 0.253231 1.170815 -0.290931
90.000 0.093081 1.194339 -0.296187
95.000 -0.052763 1.203386 -0.299692
100.000 -0.190772 1.197958 -0.300568
105.000 -0.315234 1.178053 -0.295311
110.000 -0.432101 1.136434 -0.287426
115.000 -0.535250 1.078529 -0.277789
120.000 -0.620671 0.986244 -0.270780
125.000 -0.668027 0.840089 -0.262894
130.000 -0.700811 0.714947 -0.252381
135.000 -0.704454 0.614412 -0.241690
140.000 -0.689308 0.513988 -0.233866
145.000 -0.656608 0.418272 -0.228278
150.000 -0.660741 0.339643 -0.224087
155.000 -0.682598 0.308060 -0.221852
156.000 -0.691589 0.300571 -0.221014
157.000 -0.713205 0.290088 -0.220175
158.000 -0.733722 0.275860 -0.219668
159.000 -0.757536 0.264627 -0.219929
160.000 -0.784252 0.250459 -0.220190
161.000 -0.810792 0.230715 -0.220365
162.000 -0.849330 0.209199 -0.220713
163.000 -0.890785 0.173366 -0.220933
164.000 -0.907035 0.144126 -0.221529
165.000 -0.907035 0.121669 -0.224906
166.000 -0.883797 0.105586 -0.227159
167.000 -0.834017 0.092432 -0.227769
168.000 -0.770844 0.081996 -0.225621
169.000 -0.686662 0.073499 -0.205377
170.000 -0.564393 0.064127 -0.183972
171.000 -0.477362 0.050582 -0.160343
172.000 -0.413236 0.048784 -0.134514
173.000 -0.356412 0.047520 -0.116057
174.000 -0.307821 0.046035 -0.104842
175.000 -0.260394 0.044340 -0.094902
176.000 -0.222754 0.043073 -0.086446
177.000 -0.184360 0.041382 -0.076852
178.000 -0.157259 0.040403 -0.070149
179.000 -0.131670 0.039426 -0.066912
180.000 -0.110079 0.039972 -0.063827
